//Example of output data
Efficiency (%)0.5357690829129668	  Power (W) 0.5600088888888889
Efficiency (%)0.4735860419674083	  Power (W) 0.4950125000000001
Efficiency (%)0.4050349975552576	  Power (W) 0.42336000000000007
Efficiency (%)0.29601338919829356	  Power (W) 0.3094059259259258
Efficiency (%)0.556438651630984	    Power (W) 0.5816136111111111
Efficiency (%)0.17393101588063106	  Power (W) 0.18180017857142858
Efficiency (%)0.2476783120417557	  Power (W) 0.25888402439024394
Efficiency (%)0.09244634891172342	  Power (W) 0.09662889999999999
Efficiency (%)0.25317270478565557	  Power (W) 0.264627
Efficiency (%)0.11670633989697766	  Power (W) 0.121986486
Efficiency (%)0.05627830029688504	  Power (W) 0.05882450000000001
Efficiency (%)0.038754783604500416  Power (W) 0.04050816666666666
